"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment","Food Access",
"06","California","06001401500","Alameda County, CA - 06001401500","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001401500","Alameda County, CA - 06001401500","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001401600","Alameda County, CA - 06001401600","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001401600","Alameda County, CA - 06001401600","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001401700","Alameda County, CA - 06001401700","2015","2.0","","Low Income, Low Access, Urban" (2),
"06","California","06001401700","Alameda County, CA - 06001401700","2019","2.0","","Low Income, Low Access, Urban" (2),
"06","California","06001401800","Alameda County, CA - 06001401800","2015","2.0","","Low Income, Low Access, Urban" (2),
"06","California","06001401800","Alameda County, CA - 06001401800","2019","2.0","","Low Income, Low Access, Urban" (2),
"06","California","06001402200","Alameda County, CA - 06001402200","2015","2.0","","Low Income, Low Access, Urban" (2),
"06","California","06001402200","Alameda County, CA - 06001402200","2019","2.0","","Low Income, Low Access, Urban" (2),
"06","California","06001402400","Alameda County, CA - 06001402400","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001402400","Alameda County, CA - 06001402400","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001402500","Alameda County, CA - 06001402500","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001402500","Alameda County, CA - 06001402500","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001402600","Alameda County, CA - 06001402600","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001402600","Alameda County, CA - 06001402600","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001402700","Alameda County, CA - 06001402700","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001402700","Alameda County, CA - 06001402700","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001402800","Alameda County, CA - 06001402800","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001402800","Alameda County, CA - 06001402800","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001402900","Alameda County, CA - 06001402900","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001402900","Alameda County, CA - 06001402900","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403000","Alameda County, CA - 06001403000","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403000","Alameda County, CA - 06001403000","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403100","Alameda County, CA - 06001403100","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403100","Alameda County, CA - 06001403100","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403300","Alameda County, CA - 06001403300","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403300","Alameda County, CA - 06001403300","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403400","Alameda County, CA - 06001403400","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403400","Alameda County, CA - 06001403400","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403501","Alameda County, CA - 06001403501","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403501","Alameda County, CA - 06001403501","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403502","Alameda County, CA - 06001403502","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403502","Alameda County, CA - 06001403502","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403600","Alameda County, CA - 06001403600","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403600","Alameda County, CA - 06001403600","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403701","Alameda County, CA - 06001403701","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403701","Alameda County, CA - 06001403701","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403702","Alameda County, CA - 06001403702","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403702","Alameda County, CA - 06001403702","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403800","Alameda County, CA - 06001403800","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403800","Alameda County, CA - 06001403800","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403900","Alameda County, CA - 06001403900","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001403900","Alameda County, CA - 06001403900","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404000","Alameda County, CA - 06001404000","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404000","Alameda County, CA - 06001404000","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404101","Alameda County, CA - 06001404101","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404101","Alameda County, CA - 06001404101","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404102","Alameda County, CA - 06001404102","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404102","Alameda County, CA - 06001404102","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404200","Alameda County, CA - 06001404200","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404200","Alameda County, CA - 06001404200","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404300","Alameda County, CA - 06001404300","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404300","Alameda County, CA - 06001404300","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404400","Alameda County, CA - 06001404400","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404400","Alameda County, CA - 06001404400","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404501","Alameda County, CA - 06001404501","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404501","Alameda County, CA - 06001404501","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404502","Alameda County, CA - 06001404502","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404502","Alameda County, CA - 06001404502","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404600","Alameda County, CA - 06001404600","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404600","Alameda County, CA - 06001404600","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404700","Alameda County, CA - 06001404700","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404700","Alameda County, CA - 06001404700","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404800","Alameda County, CA - 06001404800","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404800","Alameda County, CA - 06001404800","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404900","Alameda County, CA - 06001404900","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001404900","Alameda County, CA - 06001404900","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405000","Alameda County, CA - 06001405000","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405000","Alameda County, CA - 06001405000","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405100","Alameda County, CA - 06001405100","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405100","Alameda County, CA - 06001405100","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405200","Alameda County, CA - 06001405200","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405200","Alameda County, CA - 06001405200","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405301","Alameda County, CA - 06001405301","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405301","Alameda County, CA - 06001405301","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405302","Alameda County, CA - 06001405302","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405302","Alameda County, CA - 06001405302","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405401","Alameda County, CA - 06001405401","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405401","Alameda County, CA - 06001405401","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405402","Alameda County, CA - 06001405402","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405402","Alameda County, CA - 06001405402","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405500","Alameda County, CA - 06001405500","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405500","Alameda County, CA - 06001405500","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405600","Alameda County, CA - 06001405600","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405600","Alameda County, CA - 06001405600","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405700","Alameda County, CA - 06001405700","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405700","Alameda County, CA - 06001405700","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405800","Alameda County, CA - 06001405800","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405800","Alameda County, CA - 06001405800","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405901","Alameda County, CA - 06001405901","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405901","Alameda County, CA - 06001405901","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405902","Alameda County, CA - 06001405902","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001405902","Alameda County, CA - 06001405902","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406000","Alameda County, CA - 06001406000","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406000","Alameda County, CA - 06001406000","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406100","Alameda County, CA - 06001406100","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406100","Alameda County, CA - 06001406100","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406201","Alameda County, CA - 06001406201","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406201","Alameda County, CA - 06001406201","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406202","Alameda County, CA - 06001406202","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406202","Alameda County, CA - 06001406202","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406300","Alameda County, CA - 06001406300","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406300","Alameda County, CA - 06001406300","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406400","Alameda County, CA - 06001406400","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406400","Alameda County, CA - 06001406400","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406500","Alameda County, CA - 06001406500","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406500","Alameda County, CA - 06001406500","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406601","Alameda County, CA - 06001406601","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406601","Alameda County, CA - 06001406601","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406602","Alameda County, CA - 06001406602","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406602","Alameda County, CA - 06001406602","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406700","Alameda County, CA - 06001406700","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406700","Alameda County, CA - 06001406700","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406800","Alameda County, CA - 06001406800","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406800","Alameda County, CA - 06001406800","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406900","Alameda County, CA - 06001406900","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001406900","Alameda County, CA - 06001406900","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407000","Alameda County, CA - 06001407000","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407000","Alameda County, CA - 06001407000","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407101","Alameda County, CA - 06001407101","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407101","Alameda County, CA - 06001407101","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407102","Alameda County, CA - 06001407102","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407102","Alameda County, CA - 06001407102","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407200","Alameda County, CA - 06001407200","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407200","Alameda County, CA - 06001407200","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407300","Alameda County, CA - 06001407300","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407300","Alameda County, CA - 06001407300","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407400","Alameda County, CA - 06001407400","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407400","Alameda County, CA - 06001407400","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407500","Alameda County, CA - 06001407500","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407500","Alameda County, CA - 06001407500","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407600","Alameda County, CA - 06001407600","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407600","Alameda County, CA - 06001407600","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407700","Alameda County, CA - 06001407700","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407700","Alameda County, CA - 06001407700","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407800","Alameda County, CA - 06001407800","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407800","Alameda County, CA - 06001407800","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407900","Alameda County, CA - 06001407900","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001407900","Alameda County, CA - 06001407900","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408000","Alameda County, CA - 06001408000","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408000","Alameda County, CA - 06001408000","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408100","Alameda County, CA - 06001408100","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408100","Alameda County, CA - 06001408100","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408200","Alameda County, CA - 06001408200","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408200","Alameda County, CA - 06001408200","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408300","Alameda County, CA - 06001408300","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408300","Alameda County, CA - 06001408300","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408400","Alameda County, CA - 06001408400","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408400","Alameda County, CA - 06001408400","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408500","Alameda County, CA - 06001408500","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408500","Alameda County, CA - 06001408500","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408600","Alameda County, CA - 06001408600","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408600","Alameda County, CA - 06001408600","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408700","Alameda County, CA - 06001408700","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408700","Alameda County, CA - 06001408700","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408800","Alameda County, CA - 06001408800","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408800","Alameda County, CA - 06001408800","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408900","Alameda County, CA - 06001408900","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001408900","Alameda County, CA - 06001408900","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409000","Alameda County, CA - 06001409000","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409000","Alameda County, CA - 06001409000","2019","2.0","","Low Income, Low Access, Urban" (2),
"06","California","06001409100","Alameda County, CA - 06001409100","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409100","Alameda County, CA - 06001409100","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409200","Alameda County, CA - 06001409200","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409200","Alameda County, CA - 06001409200","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409300","Alameda County, CA - 06001409300","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409300","Alameda County, CA - 06001409300","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409400","Alameda County, CA - 06001409400","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409400","Alameda County, CA - 06001409400","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409500","Alameda County, CA - 06001409500","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409500","Alameda County, CA - 06001409500","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409600","Alameda County, CA - 06001409600","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409600","Alameda County, CA - 06001409600","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409700","Alameda County, CA - 06001409700","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409700","Alameda County, CA - 06001409700","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409800","Alameda County, CA - 06001409800","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409800","Alameda County, CA - 06001409800","2019","2.0","","Low Income, Low Access, Urban" (2),
"06","California","06001409900","Alameda County, CA - 06001409900","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001409900","Alameda County, CA - 06001409900","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001410000","Alameda County, CA - 06001410000","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001410000","Alameda County, CA - 06001410000","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001410100","Alameda County, CA - 06001410100","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001410100","Alameda County, CA - 06001410100","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001410200","Alameda County, CA - 06001410200","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001410200","Alameda County, CA - 06001410200","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001410300","Alameda County, CA - 06001410300","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001410300","Alameda County, CA - 06001410300","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001410400","Alameda County, CA - 06001410400","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001410400","Alameda County, CA - 06001410400","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001410500","Alameda County, CA - 06001410500","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001410500","Alameda County, CA - 06001410500","2019","2.0","","Low Income, Low Access, Urban" (2),
"06","California","06001420100","Alameda County, CA - 06001420100","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001420100","Alameda County, CA - 06001420100","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001420200","Alameda County, CA - 06001420200","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001420200","Alameda County, CA - 06001420200","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001420300","Alameda County, CA - 06001420300","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001420300","Alameda County, CA - 06001420300","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001420400","Alameda County, CA - 06001420400","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001420400","Alameda County, CA - 06001420400","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001420500","Alameda County, CA - 06001420500","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001420500","Alameda County, CA - 06001420500","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001420600","Alameda County, CA - 06001420600","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001420600","Alameda County, CA - 06001420600","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421100","Alameda County, CA - 06001421100","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421100","Alameda County, CA - 06001421100","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421200","Alameda County, CA - 06001421200","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421200","Alameda County, CA - 06001421200","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421300","Alameda County, CA - 06001421300","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421300","Alameda County, CA - 06001421300","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421400","Alameda County, CA - 06001421400","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421400","Alameda County, CA - 06001421400","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421500","Alameda County, CA - 06001421500","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421500","Alameda County, CA - 06001421500","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421600","Alameda County, CA - 06001421600","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421600","Alameda County, CA - 06001421600","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421700","Alameda County, CA - 06001421700","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421700","Alameda County, CA - 06001421700","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421800","Alameda County, CA - 06001421800","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421800","Alameda County, CA - 06001421800","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421900","Alameda County, CA - 06001421900","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001421900","Alameda County, CA - 06001421900","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001422000","Alameda County, CA - 06001422000","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001422000","Alameda County, CA - 06001422000","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001422100","Alameda County, CA - 06001422100","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001422100","Alameda County, CA - 06001422100","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001422200","Alameda County, CA - 06001422200","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001422200","Alameda County, CA - 06001422200","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001422300","Alameda County, CA - 06001422300","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001422300","Alameda County, CA - 06001422300","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001422400","Alameda County, CA - 06001422400","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001422400","Alameda County, CA - 06001422400","2019","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001422500","Alameda County, CA - 06001422500","2015","4.0","","Not Low Income, Low Access, Urban" (4),
"06","California","06001422500","Alameda County, CA - 06001422500","2019","4.0","","Not Low Income, Low Access, Urban" (4),
